City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,94,80,4.59,broken clouds
318,Atikokan,CA,48.7555,-91.6216,46.27,46,100,6.89,overcast clouds
319,Chikwawa,MW,-16.0335,34.8009,75.83,68,57,3.22,broken clouds
320,Alekseyevsk,RU,57.8406,108.3492,48.7,91,79,6.31,broken clouds
321,Gladstone,AU,-23.85,151.25,66.13,77,86,8.05,overcast clouds
322,Yambio,SS,4.5721,28.3955,67.64,98,100,3.51,overcast clouds
323,Talnakh,RU,69.4865,88.3972,42.21,100,100,2.71,overcast clouds
324,Bairiki,KI,1.3292,172.9752,82.4,83,75,3.44,light rain
325,Farafangana,MG,-22.8167,47.8333,67.24,89,5,4.65,clear sky
326,Jasper,US,37.2001,-94.3502,56.14,85,100,3.0,overcast clouds
327,Haines Junction,CA,60.7522,-137.5108,58.41,39,13,5.68,few clouds
328,Oropesa,PE,-13.5928,-71.7719,67.86,24,40,10.36,scattered clouds
329,Sundargarh,IN,22.1167,84.0333,89.24,37,64,3.11,broken clouds
330,Viedma,AR,-40.8135,-62.9967,58.33,40,2,8.93,clear sky
331,East Retford,GB,53.3221,-0.9432,59.11,67,0,4.61,clear sky
332,Palauig,PH,15.435,119.9045,80.38,76,95,7.18,overcast clouds
333,Kattivakkam,IN,13.2167,80.3167,87.08,66,87,17.74,overcast clouds
334,Clyde River,CA,70.4692,-68.5914,23.23,86,100,5.75,overcast clouds
335,Nouadhibou,MR,20.931,-17.0347,67.98,83,1,20.71,sand
336,Amapa,BR,1.0,-52.0,74.28,98,83,2.33,broken clouds
337,Akdepe,TM,42.0551,59.3788,59.09,43,8,7.81,clear sky
338,Dunedin,NZ,-45.8742,170.5036,47.8,72,100,7.0,overcast clouds
339,Strezhevoy,RU,60.7333,77.5889,46.08,82,77,5.23,broken clouds
340,Grand-Lahou,CI,5.1367,-5.0242,77.45,88,99,13.29,light rain
341,Paamiut,GL,61.994,-49.6678,36.36,86,61,21.43,broken clouds
342,Manicore,BR,-5.8092,-61.3003,89.55,48,0,2.3,clear sky
